Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
692-92-5582;B;Mandalay;Member;Female;Food and beverages;54.84;3;8.226;172.746;2/20/2019;13:27;Credit card;164.52;4.761904762;8.226;5.9
351-62-0822;B;Mandalay;Member;Female;Fashion accessories;14.48;4;2.896;60.816;2/6/2019;18:07;Ewallet;57.92;4.761904762;2.896;4.5
529-56-3974;B;Mandalay;Member;Male;Electronic accessories;25.51;4;5.102;107.142;3/9/2019;17:03;Cash;102.04;4.761904762;5.102;6.8
299-46-1805;B;Mandalay;Member;Female;Sports and travel;93.72;6;28.116;590.436;1/15/2019;16:19;Cash;562.32;4.761904762;28.116;4.5
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;40.3;2;4.03;84.63;3/11/2019;15:30;Ewallet;80.6;4.761904762;4.03;4.4
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;87.98;3;13.197;277.137;3/5/2019;10:40;Ewallet;263.94;4.761904762;13.197;5.1
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;33.2;2;3.32;69.72;3/15/2019;12:20;Credit card;66.4;4.761904762;3.32;4.4
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;33.52;1;1.676;35.196;2/8/2019;15:31;Cash;33.52;4.761904762;1.676;6.7
145-94-9061;B;Mandalay;Normal;Female;Food and beverages;88.36;5;22.09;463.89;1/25/2019;19:48;Cash;441.8;4.761904762;22.09;9.6
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;94.13;5;23.5325;494.1825;2/25/2019;19:39;Credit card;470.65;4.761904762;23.5325;4.8
149-71-6266;B;Mandalay;Member;Male;Sports and travel;78.07;9;35.1315;737.7615;1/28/2019;12:43;Cash;702.63;4.761904762;35.1315;4.5
