Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories;15.28;5;3.82;80.22;3/8/2019;10:29;Cash;76.4;4.761904762;3.82;9.6
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;85.39;7;29.8865;627.6165;3/25/2019;18:30;Ewallet;597.73;4.761904762;29.8865;4.1
315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle;73.56;10;36.78;772.38;2/24/2019;11:38;Ewallet;735.6;4.761904762;36.78;8.0
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;86.04;5;21.51;451.71;2/25/2019;11:24;Ewallet;430.2;4.761904762;21.51;4.8
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;99.42;4;19.884;417.564;2/6/2019;10:42;Ewallet;397.68;4.761904762;19.884;7.5
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;68.12;1;3.406;71.526;1/7/2019;12:28;Ewallet;68.12;4.761904762;3.406;6.8
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;54.92;8;21.968;461.328;3/23/2019;13:24;Ewallet;439.36;4.761904762;21.968;7.6
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;56.11;2;5.611;117.831;2/2/2019;10:11;Cash;112.22;4.761904762;5.611;6.3
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;98.7;8;39.48;829.08;3/4/2019;20:39;Cash;789.6;4.761904762;39.48;7.6
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;15.37;2;1.537;32.277;3/16/2019;19:47;Cash;30.74;4.761904762;1.537;7.2
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;82.63;10;41.315;867.615;3/19/2019;17:08;Ewallet;826.3;4.761904762;41.315;7.9
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;91.4;7;31.99;671.79;2/3/2019;10:19;Cash;639.8;4.761904762;31.99;9.5
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;15.43;1;0.7715;16.2015;1/25/2019;15:46;Credit card;15.43;4.761904762;0.7715;6.1
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;85.98;8;34.392;722.232;2/28/2019;19:01;Cash;687.84;4.761904762;34.392;8.2
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;30.61;6;9.183;192.843;3/12/2019;20:36;Cash;183.66;4.761904762;9.183;9.3
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;24.74;3;3.711;77.931;2/15/2019;17:47;Credit card;74.22;4.761904762;3.711;10.0
803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;55.73;6;16.719;351.099;2/24/2019;10:55;Ewallet;334.38;4.761904762;16.719;7.0
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;33.47;2;3.347;70.287;2/10/2019;15:43;Ewallet;66.94;4.761904762;3.347;6.7
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;89.48;10;44.74;939.54;1/6/2019;12:46;Credit card;894.8;4.761904762;44.74;9.6
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;62.12;10;31.06;652.26;2/11/2019;16:19;Cash;621.2;4.761904762;31.06;5.9
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;75.91;6;22.773;478.233;3/9/2019;18:21;Cash;455.46;4.761904762;22.773;8.7
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;41.65;10;20.825;437.325;1/13/2019;17:04;Credit card;416.5;4.761904762;20.825;5.4
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;49.04;9;22.068;463.428;1/9/2019;14:20;Credit card;441.36;4.761904762;22.068;8.6
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;78.31;10;39.155;822.255;3/5/2019;16:24;Ewallet;783.1;4.761904762;39.155;6.6
756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;20.38;5;5.095;106.995;1/22/2019;18:56;Cash;101.9;4.761904762;5.095;6.0
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;99.19;6;29.757;624.897;1/21/2019;14:42;Credit card;595.14;4.761904762;29.757;5.5
480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;19.25;8;7.7;161.7;1/23/2019;18:37;Ewallet;154.0;4.761904762;7.7;6.6
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;80.36;4;16.072;337.512;2/23/2019;18:45;Credit card;321.44;4.761904762;16.072;8.3
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;48.91;5;12.2275;256.7775;3/9/2019;10:17;Cash;244.55;4.761904762;12.2275;6.6
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;83.06;7;29.071;610.491;3/5/2019;14:31;Ewallet;581.42;4.761904762;29.071;4.0
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;76.52;5;19.13;401.73;3/25/2019;10:23;Cash;382.6;4.761904762;19.13;9.9
